,org_type_x,org_name_x,match_name,match_type,org_rbz_x,org_prv_x,match_rbz,area,rkm,year,cholera,population,o_craft_1849,o_ind_1849,o_serv_1849,o_agr_1849,rural_county
176,Landkreis,Rummelsburg,RUMMELSBURG,0,Köslin,Pommern,KOS,1102.1459,0.0,1875,0,32451,792,455,3457,16673,1
177,Landkreis,Schiefelbein,SCHIVELBEIN,0,Köslin,Pommern,KOS,517.45447,18.23,1875,0,19195,687,100,787,11071,1
178,Landkreis,Schlawe,SCHLAWE,0,Köslin,Pommern,KOS,1684.839,43.080002,1875,0,79389,2766,227,8878,38786,1
179,Landkreis,Stolp,STOLP,0,Köslin,Pommern,KOS,2225.0515,56.790001,1875,0,92006,2682,551,12910,53764,1
180,Landkreis,Bolkenhain,BOLKENHAIN,0,Liegnitz,Schlesien,LIE,361.76431,14.9,1875,0,32047,3157,3636,3336,13631,1
181,Landkreis,Bunzlau,BUNZLAU,0,Liegnitz,Schlesien,LIE,1021.5738,59.73,1875,0,58025,15996,1085,8371,19520,1
182,Landkreis,Freistadt,FREISTADT,0,Liegnitz,Schlesien,LIE,917.62573,21.01,1875,0,49943,2484,867,8953,25790,1
183,Landkreis,Glogau,GLOGAU,0,Liegnitz,Schlesien,LIE,981.75165,71.080002,1875,0,69705,3446,694,10602,30217,1
184,Landkreis,Goldberg-Hynau,GOLDBERG-HAINAU,0,Liegnitz,Schlesien,LIE,593.94513,42.400002,1875,0,48725,3033,982,7204,23620,1
185,Landkreis,Görlitz,GORLITZ,0,Liegnitz,Schlesien,LIE,890.09601,123.89,1875,123,92617,5476,1748,8539,31068,1
186,Landkreis,Grünberg,GRUNBERG,0,Liegnitz,Schlesien,LIE,886.04932,53.400002,1875,1,51203,2327,1539,6235,23819,1
187,Landkreis,Hirschberg,HIRSCHBERG,0,Liegnitz,Schlesien,LIE,615.38757,24.33,1875,3,65666,8988,4940,6329,9893,1
188,Landkreis,Hoyerswerda,HOYERSWERDA,0,Liegnitz,Schlesien,LIE,875.54047,80.589996,1875,0,31725,1286,498,2471,19291,1
189,Landkreis,Jauer,JAUER,0,Liegnitz,Schlesien,LIE,357.61102,17.17,1875,0,32990,4662,573,4344,13421,1
190,Landkreis,Landshut,LANDESHUT,0,Liegnitz,Schlesien,LIE,404.59125,27.34,1875,0,49113,5308,11732,4396,10441,1
191,Landkreis,Lauban,LAUBAN,0,Liegnitz,Schlesien,LIE,490.68335,41.799999,1875,1,65964,11263,10914,5242,18067,1
